               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,,
 DSO 1        0,6.51E-01,-9.92E-01,-7.94E-01,3.93E-02,          ,          ,          ,          ,0,
 DSO 1        1,8.10E-01,0,5.159,3.57E-02,          ,          ,          ,          ,10000,
 DSO 1        2,5.71E-01,-1.98E-01,1.587,6.07E-02,          ,          ,          ,          ,20000,
 DSO 1        3,1.016,7.94E-01,3.97E-01,2.98E-02,          ,          ,          ,          ,30000,
 DSO 1        4,9.37E-01,1.389,4.762,4.41E-02,          ,          ,          ,          ,40000,
 DSO 1        5,7.30E-01,3.97E-01,3.968,5.12E-02,          ,          ,          ,          ,50000,
 DSO 2        0,          ,          ,          ,          ,5.68E-01,4.29E-01,3.29E-01,1.47E-02,58088,
 DSO 1        6,8.10E-01,7.94E-01,2.381,5.00E-02,          ,          ,          ,          ,60000,
 DSO 2        1,          ,          ,          ,          ,3.49E-01,1.19E-02,2.50E-01,1.71E-02,68088,
 DSO 1        7,7.94E-01,-2.381,4.563,2.02E-02,          ,          ,          ,          ,70000,
 DSO 2        2,          ,          ,          ,          ,4.48E-01,2.10E-01,2.10E-01,1.59E-02,78088,
 DSO 1        8,6.51E-01,-1.19,4.762,2.02E-02,          ,          ,          ,          ,80000,
 DSO 2        3,          ,          ,          ,          ,2.70E-01,3.29E-01,7.06E-01,1.59E-02,88088,
 DSO 1        9,7.94E-01,-7.94E-01,2.778,4.17E-02,          ,          ,          ,          ,90000,
 DSO 2        4,          ,          ,          ,          ,1.91E-01,9.13E-02,2.90E-01,8.73E-03,98088,
 DSO 1       10,7.46E-01,-5.95E-01,3.373,1.31E-02,          ,          ,          ,          ,100000,
 DSO 2        5,          ,          ,          ,          ,4.09E-01,1.91E-01,2.30E-01,1.27E-02,108088,
 DSO 1       11,8.41E-01,1.389,1.786,5.12E-02,          ,          ,          ,          ,110000,
 DSO 2        6,          ,          ,          ,          ,4.68E-01,3.49E-01,2.30E-01,1.55E-02,118088,
 DSO 1       12,6.35E-01,1.786,3.968,5.48E-02,          ,          ,          ,          ,120000,
 DSO 2        7,          ,          ,          ,          ,4.88E-01,4.68E-01,4.29E-01,1.27E-02,128088,
