               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Timestamp
 DSO 1        0,5.40E-01,-5.159,9.92E-01,2.62E-02,          ,          ,          ,          ,0
 DSO 1        1,6.35E-01,1.984,1.587,2.62E-02,          ,          ,          ,          ,10000
 DSO 1        2,4.44E-01,9.92E-01,-9.92E-01,4.17E-02,          ,          ,          ,          ,20000
 DSO 1        3,7.62E-01,-5.95E-01,3.97E-01,3.33E-02,          ,          ,          ,          ,30000
 DSO 1        4,5.56E-01,-1.19,-2.381,3.10E-02,          ,          ,          ,          ,40000
 DSO 1        5,5.08E-01,3.97E-01,-1.19,4.41E-02,          ,          ,          ,          ,50000
 DSO 2        0,          ,          ,          ,          ,3.49E-01,6.87E-01,8.25E-01,2.06E-02,51692
 DSO 1        6,6.19E-01,-3.97E-01,-1.389,4.52E-02,          ,          ,          ,          ,60000
 DSO 2        1,          ,          ,          ,          ,4.88E-01,7.06E-01,8.65E-01,2.38E-02,61692
 DSO 1        7,4.60E-01,-3.175,3.968,4.17E-02,          ,          ,          ,          ,70000
 DSO 2        2,          ,          ,          ,          ,1.51E-01,-1.07E-01,2.90E-01,1.98E-02,71692
 DSO 1        8,6.19E-01,-5.357,1.98E-01,2.62E-02,          ,          ,          ,          ,80000
 DSO 2        3,          ,          ,          ,          ,4.09E-01,2.30E-01,6.07E-01,1.31E-02,81692
 DSO 1        9,6.03E-01,-3.97E-01,4.167,3.93E-02,          ,          ,          ,          ,90000
 DSO 2        4,          ,          ,          ,          ,2.70E-01,1.51E-01,3.89E-01,1.75E-02,91692
 DSO 1       10,4.60E-01,-7.94E-01,2.976,2.62E-02,          ,          ,          ,          ,100000
 DSO 2        5,          ,          ,          ,          ,4.09E-01,-4.76E-02,3.10E-01,2.14E-02,101692
 DSO 1       11,4.92E-01,-2.778,-1.587,4.29E-02,          ,          ,          ,          ,110000
 DSO 2        6,          ,          ,          ,          ,4.48E-01,3.10E-01,8.65E-01,1.87E-02,111692
 DSO 1       12,6.98E-01,-1.98E-01,-1.19,3.69E-02,          ,          ,          ,          ,120000
 DSO 2        7,          ,          ,          ,          ,6.67E-01,3.89E-01,7.46E-01,1.35E-02,121692
 DSO 1       13,7.62E-01,-1.389,-1.786,2.74E-02,          ,          ,          ,          ,130000
 DSO 2        8,          ,          ,          ,          ,6.67E-01,5.08E-01,6.87E-01,1.83E-02,131692
 DSO 1       14,7.14E-01,-1.389,-3.175,4.05E-02,          ,          ,          ,          ,140000
 DSO 2        9,          ,          ,          ,          ,7.66E-01,5.87E-01,7.06E-01,2.58E-02,141692
 DSO 1       15,4.44E-01,-1.389,9.92E-01,3.21E-02,          ,          ,          ,          ,150000
 DSO 2       10,          ,          ,          ,          ,4.09E-01,-7.94E-03,4.48E-01,1.59E-02,151692
 DSO 1       16,5.56E-01,-4.96,9.92E-01,3.10E-02,          ,          ,          ,          ,160000
 DSO 2       11,          ,          ,          ,          ,1.11E-01,1.71E-01,2.90E-01,1.98E-02,161692
 DSO 1       17,6.83E-01,-5.95E-01,3.175,4.05E-02,          ,          ,          ,          ,170000
 DSO 2       12,          ,          ,          ,          ,2.90E-01,-7.94E-03,4.68E-01,1.94E-02,171692
