				Integrated Y1	Integrated Y2							
				Integrate of B x=(0,7490) Area = -5.63888e+06	Integrate of C x=(0,7490) Area = -397100							
				--	--	--	--	198.4	34.52	0	34.52	--
				--	--	--	--	793.476376376377	22.0291691691692	10.0757083415761	17.9500929264756	--
0	198.4	-595.2	34.52	0	0	20772.066760375	-43797.0232288828	1784.75575575576	23.804044044044	23.8823561280371	28.3739988622908	64569.0899892579
5		--		--	--	--	--	1095.46846846847	28.8701801801802	40.657680476373	18.6586801165581	--
10	992.1	1190	17.86	5952.5	2974	39294.2727287987	-43074.9594314587	-3367.04204204204	26.1935735735736	57.8330272837683	9.36599589382768	82369.2321602574
15		--		--	--	--	--	-1887.48248248248	20.8439339339339	66.369220018382	24.2541392799495	--
20	2579	-3571	29.76	23808	-8931	69719.4786972223	-57231.8956340347	-2180.11711711712	16.0839339339339	75.3056209514749	25.1222043880683	126951.374331257
25		--		--	--	--	--	-2779.13913913914	11.9166006006006	86.253055349426	26.7893630389803	--
30	-3373	4762	26.19	19838	-2976	78319.1846656459	-53528.8318366106	-2184.58758758759	8.34254354354355	102.855511595153	30.1002588269024	131848.016502257
35		--		--	--	--	--	-995.726126126126	27.0244504504505	121.544540110082	25.5514008192992	--
40	-1389	-992.1	19.05	-3972	15873.5	67078.8906340696	-36931.2680391866	-1681.13753753754	25.6337137137137	135.164076578774	19.3469592303097	104010.158673256
45		--		--	--	--	--	-2336.44114114114	21.3906906906907	144.27444821203	19.3614831811488	--
50	-2976	2778	13.1	-25797	24803	57823.5966024932	-30253.7042417625	-997.463063063064	32.0971171171171	155.6914296454	34.336400639013	88077.3008442557
55		--		--	--	--	--	193.211111111112	30.3627427427427	167.886947474324	49.1089946902535	--
60	-2183	793.7	8.333	-51592	42661.5	44598.3025709168	-14647.1404443384	-2162.93733733734	29.76	178.052892579916	38.9558280692799	59245.4430152552
65		--		--	--	--	--	-3494.31771771771	28.5878678678679	191.4170596564	24.8409592071071	--
70	-595.2	0	33.33	-65483	46630	43277.0085393405	-12930.5766469143	968.267767767769	25.0190590590591	204.673257678918	22.7872943017036	56207.5851862548
75		--		--	--	--	--	1584.14754754755	27.6623123123123	220.100216656181	26.0707421791445	--
80	-2778	992.1	17.86	-82349	51590.5	38980.7145077641	-10222.0128494903	-1359.9009009009	19.7204504504505	232.141156072335	17.8571660165102	49202.7273572543
85		--		--	--	--	--	-3979.31631631631	15.6737637637638	243.862826688595	29.1112944962287	--
90	-992.1	793.7	32.14	-101199.5	60519.5	32699.9204761877	-3544.94905206619	-2194.91191191191	30.8486986986987	261.829644941521	25.4204502676309	36244.8695282539
95		--		--	--	--	--	1659.13813813814	35.3812312312312	273.899287793135	23.1662134633628	--
100	595.2	-1984	29.76	-103184	54568	43285.1264446114	-11748.3852546421	719.621621621619	44.5547747747748	286.944699379812	36.6426216041705	55033.5116992535
105		--		--	--	--	--	-1199.38438438438	48.3084484484484	299.807523934872	25.2521436453179	--
110	-4960	3571	29.76	-125008	62503	34030.832413035	-6065.32145721804	-9.53153153153267	35.8101201201201	314.242407584253	28.7863814772652	40096.153870253
115		--		--	--	--	--	-2213.38138138138	28.6295595595596	325.428696160398	32.3156513424714	--
120	992.1	1389	25	-144847.5	87303	26761.0383814586	16482.742340206	-3367.83383383384	21.4919419419419	340.117603535903	39.2618927549193	10278.2960412526
125		--		--	--	--	--	-3576.86486486487	19.854054054054	358.067667753463	32.0997376866893	--
130	1786	4563	28.57	-130957	117063	53221.2443498823	43990.8061376301	-2981.56356356356	29.6682782782783	376.045354050426	27.3517368013737	9230.43821225215
135		--		--	--	--	--	-912.957757757757	27.1084084084084	389.121145866446	41.8833001062432	--
140	-4563	3175	10.71	-144842	155753	51905.9503183059	80428.8699350542	290.201801801803	20.3293393393393	404.835407937361	32.2576284607664	-28522.9196167483
145		--		--	--	--	--	457.249749749751	18.3257557557557	420.884581239252	43.0705303349419	--
150	-2183	-396.8	30.95	-178572	169644	30745.6562867295	92067.9337324782	-584.077677677678	30.8165865865866	440.052705940076	43.9558671910252	-61322.2774457487
155		--		--	--	--	--	582.166666666668	27.4193093093093	449.602990771564	26.8990584819865	--
160	2976	-3175	36.9	-174607	151785	47280.3622551532	71956.9975299023	504.491291291293	26.7748748748749	462.047630465799	35.6612721152333	-24676.6352747491
165		--		--	--	--	--	-813.706706706715	24.7963063063063	473.508413755637	32.4560269675674	--
170	-1587	-793.7	52.38	-167662	131941.5	66795.0682235768	49861.5613273264	-3342.61261261261	16.7664864864865	485.092939963379	40.4085479261839	16933.5068962504
175		--		--	--	--	--	-2784.85185185185	29.0107407407407	500.362810375258	28.9157582876205	--
