               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
 DSO 1        0,0.810     ,0.79      ,2.78      ,0.0853    ,          ,          ,          ,          ,  -8199690
 DSO 1        1,0.778     ,-2.78     ,4.56      ,0.0317    ,          ,          ,          ,          ,  -8189690
 DSO 1        2,0.651     ,-1.59     ,4.56      ,0.0298    ,          ,          ,          ,          ,  -8179690
 DSO 1        3,0.825     ,-1.39     ,2.78      ,0.0655    ,          ,          ,          ,          ,  -8169690
 DSO 1        4,0.810     ,-0.60     ,3.37      ,0.0218    ,          ,          ,          ,          ,  -8159690
 DSO 1        5,0.825     ,1.39      ,1.98      ,0.0833    ,          ,          ,          ,          ,  -8149690
 DSO 1        6,0.667     ,1.39      ,3.77      ,0.0933    ,          ,          ,          ,          ,  -8139690
 DSO 2        0,          ,          ,          ,          ,0.766     ,0.310     ,0.627     ,0.0222    ,  -8137072
 DSO 1        7,1.063     ,3.17      ,5.75      ,0.0952    ,          ,          ,          ,          ,  -8129690
 DSO 2        1,          ,          ,          ,          ,0.389     ,0.429     ,0.885     ,0.0190    ,  -8127072
 DSO 1        8,0.778     ,1.98      ,2.78      ,0.0734    ,          ,          ,          ,          ,  -8119690
 DSO 2        2,          ,          ,          ,          ,0.627     ,0.548     ,0.528     ,0.0187    ,  -8117072
 DSO 1        9,0.825     ,-3.37     ,2.38      ,0.0476    ,          ,          ,          ,          ,  -8109690
 DSO 2        3,          ,          ,          ,          ,0.290     ,0.706     ,0.806     ,0.0206    ,  -8107072
 DSO 1       10,0.873     ,0.00      ,1.19      ,0.0357    ,          ,          ,          ,          ,  -8099690
 DSO 2        4,          ,          ,          ,          ,0.290     ,0.290     ,0.448     ,0.0147    ,  -8097072
 DSO 1       11,0.683     ,0.00      ,2.38      ,0.0516    ,          ,          ,          ,          ,  -8089690
 DSO 2        5,          ,          ,          ,          ,0.429     ,0.111     ,0.528     ,0.0206    ,  -8087072
 DSO 1       12,0.825     ,1.19      ,0.99      ,0.0575    ,          ,          ,          ,          ,  -8079690
 DSO 2        6,          ,          ,          ,          ,0.171     ,-0.127    ,0.488     ,0.0206    ,  -8077072
 DSO 1       13,0.683     ,-0.99     ,2.18      ,0.0556    ,          ,          ,          ,          ,  -8069690
 DSO 2        7,          ,          ,          ,          ,0.250     ,0.091     ,0.389     ,0.0155    ,  -8067072
 DSO 1       14,1.016     ,-1.19     ,4.37      ,0.0952    ,          ,          ,          ,          ,  -8059690
 DSO 2        8,          ,          ,          ,          ,0.369     ,0.667     ,0.687     ,0.0167    ,  -8057072
 DSO 1       15,0.794     ,0.60      ,1.39      ,0.0813    ,          ,          ,          ,          ,  -8049690
 DSO 2        9,          ,          ,          ,          ,0.607     ,0.230     ,1.163     ,0.0179    ,  -8047072
 DSO 1       16,0.794     ,2.58      ,3.57      ,0.0933    ,          ,          ,          ,          ,  -8039690
 DSO 2       10,          ,          ,          ,          ,0.349     ,0.687     ,0.845     ,0.0202    ,  -8037072
 DSO 1       17,0.619     ,0.79      ,2.58      ,0.0516    ,          ,          ,          ,          ,  -8029690
 DSO 2       11,          ,          ,          ,          ,0.429     ,0.667     ,0.845     ,0.0234    ,  -8027072
 DSO 1       18,0.571     ,-0.99     ,2.98      ,0.0655    ,          ,          ,          ,          ,  -8019690
 DSO 2       12,          ,          ,          ,          ,0.131     ,-0.067    ,0.270     ,0.0194    ,  -8017072
 DSO 1       19,0.556     ,0.99      ,3.97      ,0.0694    ,          ,          ,          ,          ,  -8009690
 DSO 2       13,          ,          ,          ,          ,0.389     ,0.290     ,0.607     ,0.0131    ,  -8007072
 DSO 1       20,0.540     ,-2.18     ,1.59      ,0.0337    ,          ,          ,          ,          ,  -7999690
