               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,           
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,  Timestamp
 DSO 1        0,0.587     ,-0.99     ,2.98      ,0.0655    ,          ,          ,          ,          ,   -8197276
 DSO 1        1,0.587     ,1.19      ,4.17      ,0.0675    ,          ,          ,          ,          ,   -8187276
 DSO 1        2,0.540     ,-2.38     ,1.98      ,0.0337    ,          ,          ,          ,          ,   -8177276
 DSO 1        3,0.810     ,-2.78     ,4.56      ,0.0893    ,          ,          ,          ,          ,   -8167276
 DSO 1        4,0.698     ,4.17      ,1.59      ,0.0933    ,          ,          ,          ,          ,   -8157276
 DSO 1        5,0.968     ,0.40      ,3.97      ,0.1151    ,          ,          ,          ,          ,   -8147276
 DSO 1        6,0.825     ,1.19      ,1.19      ,0.0575    ,          ,          ,          ,          ,   -8137276
 DSO 2        0,          ,          ,          ,          ,0.159     ,0.000     ,0.352     ,0.0147    ,   -8136862
 DSO 1        7,0.825     ,0.79      ,1.39      ,0.0754    ,          ,          ,          ,          ,   -8127276
 DSO 2        1,          ,          ,          ,          ,-0.040    ,-0.397    ,0.317     ,0.0179    ,   -8126862
 DSO 1        8,0.556     ,0.79      ,4.76      ,0.0496    ,          ,          ,          ,          ,   -8117276
 DSO 2        2,          ,          ,          ,          ,0.119     ,-0.198    ,0.281     ,0.0167    ,   -8116862
 DSO 1        9,0.714     ,-0.60     ,1.98      ,0.0774    ,          ,          ,          ,          ,   -8107276
 DSO 2        3,          ,          ,          ,          ,-0.079    ,-0.099    ,0.555     ,0.0151    ,   -8106862
 DSO 1       10,0.730     ,0.00      ,0.00      ,0.0675    ,          ,          ,          ,          ,   -8097276
 DSO 2        4,          ,          ,          ,          ,-0.159    ,-0.278    ,0.364     ,0.0079    ,   -8096862
 DSO 1       11,0.905     ,2.98      ,0.79      ,0.0774    ,          ,          ,          ,          ,   -8087276
 DSO 2        5,          ,          ,          ,          ,0.060     ,-0.258    ,0.317     ,0.0135    ,   -8086862
 DSO 1       12,0.968     ,2.58      ,0.79      ,0.0675    ,          ,          ,          ,          ,   -8077276
 DSO 2        6,          ,          ,          ,          ,0.139     ,-0.040    ,0.293     ,0.0155    ,   -8076862
 DSO 1       13,0.873     ,3.97      ,0.40      ,0.0754    ,          ,          ,          ,          ,   -8067276
 DSO 2        7,          ,          ,          ,          ,0.179     ,0.079     ,0.424     ,0.0131    ,   -8066862
 DSO 1       14,0.794     ,3.37      ,2.18      ,0.0714    ,          ,          ,          ,          ,   -8057276
 DSO 2        8,          ,          ,          ,          ,0.079     ,-0.337    ,0.460     ,0.0087    ,   -8056862
 DSO 1       15,0.984     ,-1.59     ,-0.20     ,0.0595    ,          ,          ,          ,          ,   -8047276
 DSO 2        9,          ,          ,          ,          ,0.278     ,-0.377    ,0.293     ,0.0099    ,   -8046862
 DSO 1       16,0.794     ,-0.20     ,3.77      ,0.0754    ,          ,          ,          ,          ,   -8037276
 DSO 2       10,          ,          ,          ,          ,-0.377    ,-0.238    ,0.388     ,0.0226    ,   -8036862
